comment_description,answer,created_user
Automated executive matrices,51,7
Enhanced bandwidth-monitored definition,972,1
Object-based value-added encoding,661,7
Balanced web-enabled intranet,845,5
Business-focused optimal application,328,8
Pre-emptive non-volatile algorithm,788,5
Realigned radical analyzer,375,2
Synergistic content-based methodology,444,5
Team-oriented explicit benchmark,726,1
Monitored dedicated migration,775,3
Grass-roots 3rd generation utilisation,338,6
Cloned holistic implementation,484,6
Cross-group value-added success,822,5
Streamlined real-time methodology,934,1
Ameliorated value-added toolset,58,2
Optimized exuding approach,753,7
Cross-platform asymmetric intranet,871,6
Monitored fault-tolerant forecast,29,7
Diverse real-time help-desk,296,7
Synchronised global internet solution,237,8
Right-sized bottom-line projection,60,6
Down-sized 24 hour forecast,916,3
Networked leading edge conglomeration,172,8
Ergonomic intangible implementation,938,7
Expanded fault-tolerant task-force,381,7
Secured empowering orchestration,51,3
User-centric discrete instruction set,791,4
Polarised clear-thinking internet solution,651,4
Ergonomic intermediate extranet,904,8
Exclusive discrete middleware,559,4
Future-proofed motivating utilisation,174,6
Horizontal radical collaboration,577,3
Mandatory 4th generation standardization,346,5
Phased dedicated software,899,4
Switchable mobile collaboration,536,4
Decentralized fresh-thinking strategy,536,2
Universal dynamic model,341,8
User-centric impactful infrastructure,853,6
Right-sized stable approach,576,5
User-centric solution-oriented strategy,221,5
Public-key needs-based workforce,185,3
Organic multi-state product,608,5
Profit-focused directional project,813,6
Fully-configurable even-keeled open system,247,8
Persistent mission-critical firmware,167,2
Public-key system-worthy function,929,5
Front-line local challenge,195,6
Progressive fault-tolerant hierarchy,985,5
Operative responsive knowledge user,620,2
Devolved discrete analyzer,287,6
Universal high-level flexibility,207,5
Mandatory systematic alliance,962,7
Sharable web-enabled matrices,4,5
Right-sized context-sensitive info-mediaries,43,4
Proactive modular system engine,556,1
Streamlined full-range middleware,125,8
Horizontal value-added groupware,178,1
Open-architected zero tolerance projection,318,1
Centralized needs-based benchmark,165,8
User-friendly disintermediate model,333,3
Pre-emptive background process improvement,857,4
Proactive eco-centric matrix,235,8
Re-engineered value-added framework,514,4
Customizable mobile circuit,442,2
Synergized optimal emulation,975,8
Upgradable hybrid middleware,782,8
Public-key impactful encoding,978,6
Horizontal scalable complexity,479,3
Multi-tiered demand-driven capability,436,3
Persistent foreground attitude,445,6
Compatible maximized workforce,727,3
Upgradable needs-based data-warehouse,36,4
Synergized systemic utilisation,518,5
Cross-platform asynchronous functionalities,12,3
Reverse-engineered demand-driven synergy,949,4
Fundamental hybrid moratorium,234,7
Total 3rd generation neural-net,222,5
Adaptive incremental Graphical User Interface,788,1
Reverse-engineered next generation interface,381,1
User-centric radical functionalities,391,7
Pre-emptive 3rd generation attitude,345,8
Object-based client-driven orchestration,785,6
Fundamental intangible help-desk,422,1
Object-based 4th generation secured line,856,8
Configurable leading edge artificial intelligence,447,2
Virtual high-level adapter,254,1
Fundamental impactful portal,481,4
Re-contextualized 24/7 superstructure,96,4
Polarised zero tolerance implementation,596,2
Operative coherent open system,778,6
Business-focused dedicated flexibility,466,1
Monitored client-driven task-force,53,2
Cloned asymmetric groupware,586,4
Up-sized heuristic data-warehouse,381,5
Multi-layered explicit core,546,6
Intuitive 24 hour monitoring,460,1
Multi-layered needs-based local area network,310,5
Synergized multimedia framework,717,2
Universal systematic ability,847,6
Up-sized zero defect knowledge base,458,6
Optimized fresh-thinking hardware,781,7
Ameliorated system-worthy monitoring,684,1
Universal scalable initiative,485,6
Versatile bandwidth-monitored extranet,709,2
Visionary zero defect firmware,320,2
Persistent grid-enabled local area network,790,2
Vision-oriented encompassing focus group,751,5
Object-based coherent conglomeration,869,1
Synergistic 24 hour architecture,826,1
Cross-group needs-based benchmark,707,2
Business-focused web-enabled artificial intelligence,953,3
Implemented multimedia pricing structure,754,3
Enterprise-wide real-time core,629,3
Seamless dedicated approach,412,7
Balanced mobile installation,722,5
Monitored global website,641,2
Total neutral alliance,552,6
User-centric stable extranet,309,6
Horizontal background matrix,188,1
Decentralized leading edge project,53,8
Streamlined context-sensitive leverage,875,1
Robust modular encoding,862,7
Virtual motivating Graphical User Interface,854,4
Versatile object-oriented portal,721,1
Intuitive optimizing budgetary management,232,1
Open-architected disintermediate productivity,330,8
Re-contextualized object-oriented software,561,4
Programmable discrete groupware,789,3
Managed coherent conglomeration,31,7
Focused intangible intranet,684,5
Multi-tiered secondary groupware,337,8
Progressive regional Graphic Interface,1,7
Reverse-engineered impactful service-desk,501,7
Persistent systemic product,230,5
Multi-tiered static circuit,662,8
Digitized homogeneous data-warehouse,24,2
Seamless interactive matrices,726,1
Exclusive intangible challenge,571,5
Synergistic national challenge,264,2
Triple-buffered non-volatile approach,432,2
Digitized disintermediate portal,852,3
Proactive coherent access,924,5
Persevering composite forecast,918,6
Automated high-level infrastructure,813,2
Streamlined encompassing complexity,859,2
Customizable actuating conglomeration,209,6
Automated leading edge artificial intelligence,965,3
Visionary upward-trending productivity,77,5
Centralized multi-state frame,269,5
Organized value-added architecture,343,4
Multi-tiered didactic matrices,722,1
Versatile maximized orchestration,254,4
Sharable full-range protocol,654,7
Streamlined systematic contingency,589,6
Profound 3rd generation circuit,263,6
Ameliorated local hub,543,2
Future-proofed coherent extranet,805,8
Digitized client-server parallelism,883,2
Robust discrete info-mediaries,572,1
Centralized client-driven moratorium,850,5
Cross-platform systemic function,223,8
Proactive multi-tasking contingency,884,3
Expanded user-facing hardware,985,1
Synchronised intangible application,525,1
Optimized human-resource open architecture,805,6
Future-proofed cohesive interface,192,7
Cloned value-added focus group,479,7
Compatible user-facing internet solution,776,2
Reduced encompassing matrix,570,6
Multi-tiered context-sensitive local area network,534,2
Grass-roots web-enabled project,464,2
User-centric mission-critical structure,658,1
Adaptive 3rd generation frame,772,8
Phased exuding moratorium,587,1
Seamless optimal model,144,8
Reduced multi-tasking pricing structure,60,3
Balanced multi-tasking paradigm,58,2
Upgradable disintermediate knowledge base,220,2
Optimized systemic pricing structure,286,5
Robust impactful system engine,206,6
Multi-lateral 3rd generation groupware,84,4
Re-engineered tertiary array,931,7
Fundamental bottom-line time-frame,355,1
Streamlined transitional hub,517,7
Enterprise-wide methodical structure,380,8
User-centric impactful productivity,923,2
Balanced scalable array,934,8
Reverse-engineered systematic Graphical User Interface,441,5
Innovative motivating capability,423,6
Fundamental motivating strategy,868,5
Stand-alone interactive algorithm,665,2
Diverse coherent open architecture,207,4
Robust multi-state circuit,849,3
Intuitive client-driven superstructure,256,4
Monitored responsive leverage,339,3
Universal bi-directional instruction set,225,4
Decentralized didactic hub,849,3
Innovative client-server application,478,2
Reactive 4th generation frame,160,5
Extended mission-critical analyzer,338,6
Business-focused systematic attitude,816,6
Sharable multimedia project,494,6
Synergistic didactic paradigm,98,5
Managed object-oriented methodology,63,5
Profit-focused dedicated budgetary management,59,1
Grass-roots stable extranet,389,8
Extended optimizing algorithm,495,4
Reverse-engineered solution-oriented methodology,20,1
Right-sized optimizing success,255,6
Proactive national focus group,611,4
Total upward-trending artificial intelligence,76,4
User-centric background artificial intelligence,537,4
Proactive bifurcated standardization,119,8
Optimized 5th generation budgetary management,96,6
Compatible didactic definition,129,3
Monitored bottom-line portal,810,1
Multi-layered upward-trending concept,947,6
Innovative regional algorithm,708,5
Centralized demand-driven software,538,5
Ergonomic scalable knowledge user,990,3
Virtual zero administration parallelism,255,4
Visionary value-added budgetary management,630,2
Upgradable needs-based Graphical User Interface,953,3
Pre-emptive client-server synergy,782,2
Grass-roots global moratorium,997,4
Mandatory bifurcated flexibility,699,5
Seamless scalable neural-net,320,1
Ameliorated transitional migration,205,8
Ameliorated actuating customer loyalty,385,8
Re-contextualized bi-directional focus group,466,3
Digitized hybrid capacity,722,6
Adaptive empowering productivity,740,8
Multi-lateral local hardware,435,2
Face to face context-sensitive access,242,5
Cloned global secured line,628,7
Persevering radical Graphic Interface,480,8
Intuitive disintermediate time-frame,159,5
Organized asymmetric software,791,1
Horizontal empowering circuit,341,4
Self-enabling system-worthy projection,341,7
De-engineered actuating service-desk,685,2
Devolved static alliance,255,5
Self-enabling composite hardware,802,4
Versatile multimedia portal,213,7
Devolved empowering open architecture,665,8
Down-sized contextually-based attitude,95,6
Integrated zero administration system engine,45,1
Intuitive mobile access,988,6
Configurable 3rd generation array,400,3
Open-source transitional core,152,3
Public-key coherent adapter,944,4
Extended multi-state matrices,764,2
Self-enabling local model,839,1
Balanced grid-enabled leverage,168,5
Devolved responsive frame,484,3
Realigned eco-centric archive,879,5
Enhanced value-added knowledge base,727,7
Object-based radical superstructure,791,3
Reactive client-driven Graphic Interface,604,7
Multi-channelled client-server moratorium,882,2
Fundamental encompassing success,809,2
Seamless disintermediate support,957,6
Multi-channelled 6th generation interface,99,1
Switchable leading edge challenge,278,1
Cloned attitude-oriented matrix,497,3
Seamless user-facing paradigm,735,8
Programmable contextually-based portal,601,3
Re-contextualized 6th generation Graphic Interface,27,8
Centralized optimizing focus group,212,1
Mandatory value-added process improvement,854,1
Multi-channelled impactful project,743,7
Stand-alone incremental infrastructure,270,5
Organic zero administration flexibility,895,4
Inverse discrete frame,783,8
Enterprise-wide even-keeled secured line,336,8
User-friendly coherent ability,473,8
Total bottom-line paradigm,65,4
Reduced eco-centric success,642,3
Object-based context-sensitive project,800,3
Synergistic user-facing array,618,7
Extended radical customer loyalty,237,7
Customer-focused radical synergy,752,7
Reverse-engineered web-enabled policy,301,4
Ergonomic interactive moderator,446,8
Optional global product,85,1
Persistent content-based emulation,643,4
Integrated bottom-line function,555,6
Assimilated systematic focus group,21,5
Realigned directional budgetary management,517,6
Focused discrete synergy,666,1
Persistent demand-driven database,541,1
Streamlined 5th generation benchmark,834,2
Synchronised foreground matrix,191,6
Distributed full-range software,646,8
Synchronised demand-driven encryption,278,7
Extended 6th generation policy,296,6
Optional leading edge array,441,1
Reactive discrete open system,57,6
Cloned solution-oriented support,193,5
Balanced high-level data-warehouse,842,5
Reverse-engineered bifurcated project,683,2
Centralized analyzing implementation,695,2
Enhanced object-oriented installation,402,2
Synchronised analyzing projection,910,4
Extended fresh-thinking knowledge base,932,1
Implemented 24/7 hardware,978,8
Operative intermediate strategy,596,8
Optional neutral intranet,665,4
Universal zero administration archive,991,7
Balanced real-time alliance,882,5
Universal leading edge conglomeration,660,5
Re-contextualized 6th generation alliance,387,8
Customer-focused fault-tolerant algorithm,919,7
Secured secondary hierarchy,769,1
Digitized multi-state standardization,838,3
Fundamental grid-enabled encryption,368,8
Open-source system-worthy task-force,721,7
Open-source needs-based approach,444,3
Organic analyzing complexity,779,2
Multi-lateral solution-oriented alliance,573,6
Self-enabling zero defect instruction set,657,7
Proactive empowering archive,617,4
Upgradable even-keeled collaboration,740,8
Enterprise-wide local conglomeration,8,3
Function-based demand-driven help-desk,889,8
Extended bottom-line middleware,338,5
Object-based 4th generation encryption,785,1
Automated methodical contingency,995,6
Multi-layered eco-centric toolset,342,2
Persistent intangible paradigm,985,6
Innovative optimizing secured line,635,4
Seamless optimal paradigm,545,4
Synergistic encompassing local area network,16,6
Face to face mission-critical concept,831,5
Adaptive human-resource frame,313,4
Robust optimizing success,296,5
Upgradable clear-thinking project,644,3
Advanced cohesive infrastructure,653,6
Diverse directional complexity,597,5
Configurable web-enabled approach,979,7
Progressive upward-trending moderator,558,5
Multi-channelled 5th generation open system,647,3
Adaptive client-driven contingency,64,4
Ergonomic bi-directional function,784,4
Synergistic leading edge service-desk,759,8
Cross-platform client-server open architecture,770,1
Ameliorated context-sensitive interface,19,7
Ergonomic content-based moderator,235,2
Reverse-engineered encompassing pricing structure,215,1
Automated value-added framework,458,7
Phased global algorithm,911,3
Configurable demand-driven portal,194,3
Multi-lateral homogeneous encryption,492,4
Expanded maximized complexity,495,2
Fundamental fault-tolerant support,280,1
Cloned neutral paradigm,778,5
Diverse holistic workforce,409,7
Open-architected bi-directional capacity,671,7
Up-sized intermediate neural-net,150,8
Fundamental bandwidth-monitored architecture,757,7
Enterprise-wide uniform frame,510,8
Monitored didactic system engine,501,3
Public-key uniform paradigm,412,4
Seamless radical capacity,363,4
Assimilated bifurcated flexibility,154,2
Function-based even-keeled project,826,1
Reverse-engineered 24/7 architecture,532,1
Ameliorated 6th generation firmware,327,3
Balanced actuating solution,867,2
Optional context-sensitive throughput,396,6
Right-sized 24 hour superstructure,422,6
Switchable cohesive process improvement,240,7
Inverse clear-thinking forecast,383,7
Grass-roots didactic implementation,38,3
Inverse clear-thinking capacity,202,1
Multi-tiered contextually-based task-force,745,8
Managed 24/7 projection,936,4
Multi-tiered leading edge implementation,117,3
Robust directional intranet,366,3
Re-engineered well-modulated infrastructure,636,1
Extended multi-state paradigm,213,8
Multi-channelled 3rd generation moderator,557,5
Progressive regional paradigm,593,6
Re-engineered reciprocal contingency,713,1
Automated tangible array,457,5
Multi-channelled optimal throughput,90,2
Down-sized dedicated system engine,435,6
Triple-buffered disintermediate software,628,8
Synergistic real-time complexity,172,7
Universal homogeneous archive,83,6
Persistent global approach,24,3
Face to face holistic analyzer,836,6
Customizable stable alliance,90,7
Cloned incremental focus group,880,5
Down-sized holistic superstructure,872,5
Implemented incremental software,469,5
Optional multi-tasking encryption,598,7
Grass-roots full-range analyzer,892,8
Distributed heuristic superstructure,8,3
Multi-tiered national budgetary management,552,7
Reduced bandwidth-monitored implementation,32,7
Proactive 24/7 projection,866,5
Organized incremental local area network,40,1
Face to face dynamic time-frame,73,6
Vision-oriented holistic neural-net,900,4
Triple-buffered client-server hierarchy,353,5
Business-focused empowering infrastructure,941,7
Optimized system-worthy website,944,5
Multi-lateral object-oriented encryption,50,3
Fundamental needs-based local area network,441,7
Enhanced 24/7 artificial intelligence,173,2
Phased responsive budgetary management,661,7
Down-sized reciprocal product,63,6
Fundamental systematic matrices,118,1
Implemented zero tolerance moratorium,234,8
Object-based system-worthy middleware,609,5
Compatible bandwidth-monitored product,58,4
Networked regional utilisation,77,2
Configurable local matrices,957,3
Configurable clear-thinking focus group,11,8
Public-key fresh-thinking middleware,159,3
Optimized didactic groupware,426,6
Enterprise-wide optimal strategy,267,7
Versatile real-time service-desk,741,7
Integrated high-level definition,540,8
Multi-lateral human-resource protocol,369,4
Versatile methodical initiative,939,3
Visionary demand-driven info-mediaries,376,7
Right-sized mission-critical monitoring,562,2
Reverse-engineered bifurcated model,391,5
Centralized zero tolerance migration,270,7
Multi-layered optimizing moratorium,325,2
Optional zero tolerance attitude,761,5
Robust systemic capability,993,5
Compatible directional budgetary management,651,7
Synchronised heuristic analyzer,213,4
User-friendly maximized artificial intelligence,195,7
Implemented non-volatile knowledge user,381,2
Innovative 6th generation pricing structure,709,8
Cross-platform attitude-oriented initiative,196,7
User-centric well-modulated forecast,329,2
Focused transitional productivity,938,3
User-friendly secondary website,800,3
Persistent local database,689,7
Reverse-engineered human-resource instruction set,279,2
Adaptive holistic frame,364,2
Advanced high-level internet solution,743,6
Profit-focused 3rd generation superstructure,332,3
Grass-roots cohesive internet solution,479,4
Balanced disintermediate circuit,82,3
Focused local Graphic Interface,126,1
Secured transitional model,768,7
Assimilated local data-warehouse,139,6
Stand-alone tertiary support,196,4
Streamlined human-resource policy,238,6
Proactive national groupware,48,7
Persevering grid-enabled challenge,434,1
Fully-configurable fault-tolerant throughput,288,1
Progressive tertiary standardization,117,4
Adaptive actuating monitoring,513,1
Devolved discrete circuit,535,4
Open-architected multi-state analyzer,334,7
Distributed multi-tasking focus group,353,8
Multi-tiered bifurcated frame,214,1
Pre-emptive static adapter,467,7
Grass-roots methodical firmware,343,3
Synergized mobile instruction set,334,5
Integrated non-volatile contingency,863,6
Stand-alone next generation customer loyalty,262,2
Expanded didactic data-warehouse,173,2
Horizontal client-driven superstructure,37,4
Innovative interactive archive,323,3
Reverse-engineered actuating internet solution,913,4
Innovative encompassing moderator,699,6
Extended actuating model,432,6
Intuitive transitional help-desk,514,1
Distributed full-range adapter,153,2
Expanded interactive secured line,491,6
Pre-emptive asynchronous matrix,194,7
Right-sized human-resource framework,429,5
Fully-configurable reciprocal artificial intelligence,683,8
Reverse-engineered coherent conglomeration,906,4
Managed contextually-based task-force,628,7
Organized optimal approach,911,6
Extended global focus group,75,5
Profound tertiary system engine,420,1
Vision-oriented didactic groupware,527,6
Polarised fresh-thinking flexibility,971,1
Polarised reciprocal capability,992,6
Right-sized bottom-line flexibility,376,3
Configurable actuating ability,79,4
Monitored incremental standardization,480,7
Virtual motivating support,103,4
Grass-roots bi-directional moratorium,361,4
Adaptive encompassing array,730,4
Customer-focused solution-oriented projection,545,3
Implemented bifurcated parallelism,262,4
Inverse composite matrix,98,7
Programmable asynchronous instruction set,684,1
Team-oriented 24/7 definition,383,3
Digitized solution-oriented complexity,54,4
Managed eco-centric neural-net,763,4
Extended mobile middleware,151,7
Compatible eco-centric budgetary management,67,1
Robust mobile budgetary management,274,2
Devolved contextually-based intranet,434,4
Object-based analyzing architecture,357,3
Persistent 3rd generation installation,19,4
Operative hybrid moderator,517,2
Switchable analyzing algorithm,629,6
Cross-group exuding core,325,6
Visionary 24/7 Graphic Interface,821,1
Multi-layered bi-directional budgetary management,694,3
Synergistic stable collaboration,483,2
Exclusive system-worthy forecast,239,6
Stand-alone stable frame,144,7
Programmable intangible interface,408,2
Virtual regional data-warehouse,513,3
Devolved attitude-oriented customer loyalty,717,4
Function-based dedicated open architecture,229,2
Extended zero tolerance moratorium,897,8
Team-oriented 4th generation process improvement,300,8
Fully-configurable static policy,743,3
Open-architected needs-based ability,129,4
Down-sized next generation system engine,330,2
Virtual impactful collaboration,112,8
Up-sized next generation challenge,990,7
Streamlined executive hardware,485,3
Synchronised homogeneous architecture,634,3
Down-sized asymmetric moratorium,549,5
Front-line exuding synergy,569,4
Synchronised directional extranet,997,7
Multi-layered web-enabled groupware,233,3
Team-oriented clear-thinking ability,536,7
Secured clear-thinking superstructure,317,7
Digitized well-modulated service-desk,912,2
De-engineered client-server toolset,357,5
Object-based methodical concept,853,5
Re-engineered transitional interface,888,5
Reduced asynchronous installation,296,1
Upgradable bottom-line secured line,844,1
Compatible modular hierarchy,736,1
Devolved methodical algorithm,719,3
Optimized interactive middleware,72,1
Synergized system-worthy middleware,129,8
De-engineered well-modulated architecture,975,2
Realigned hybrid groupware,369,4
Up-sized mobile approach,88,5
Expanded regional help-desk,747,4
Re-contextualized eco-centric capacity,156,2
Diverse homogeneous projection,851,1
Seamless impactful portal,847,5
Reactive eco-centric installation,236,1
Realigned 3rd generation frame,158,7
Operative high-level neural-net,878,8
Reactive user-facing matrix,732,4
Optional neutral projection,779,4
Future-proofed even-keeled algorithm,459,7
Organized client-server alliance,788,6
Pre-emptive clear-thinking flexibility,872,3
Right-sized 4th generation system engine,106,7
Future-proofed contextually-based synergy,887,7
Compatible context-sensitive open system,645,5
Fundamental eco-centric open system,780,5
Balanced uniform project,99,7
Team-oriented 24 hour analyzer,615,7
Intuitive coherent hierarchy,574,6
Implemented holistic success,133,7
Total client-driven extranet,449,7
Polarised systemic attitude,258,4
Exclusive 24 hour instruction set,188,2
Programmable 6th generation synergy,510,3
Profound clear-thinking hierarchy,332,1
Reduced clear-thinking orchestration,981,6
User-centric tertiary analyzer,328,8
Configurable tertiary local area network,600,5
Digitized heuristic intranet,653,2
Diverse hybrid workforce,906,7
Ergonomic leading edge capacity,304,2
Configurable zero tolerance matrix,866,5
Cloned 24 hour model,114,3
Networked coherent process improvement,866,2
User-friendly radical implementation,278,1
Compatible discrete system engine,134,4
Public-key dynamic solution,877,5
Enhanced homogeneous approach,434,2
Extended asynchronous analyzer,94,1
Cross-group clear-thinking forecast,779,8
User-friendly web-enabled artificial intelligence,750,4
Vision-oriented methodical hub,243,3
Expanded optimal orchestration,550,2
Centralized impactful protocol,372,1
Seamless eco-centric benchmark,502,6
Mandatory high-level moratorium,558,4
