question_title,question_description,tags,created_user
Focused composite system engine,Seamless heuristic database,12,1
Polarised 5th generation approach,De-engineered 6th generation complexity,2,7
Triple-buffered tangible synergy,Profit-focused uniform local area network,1,6
Function-based tertiary parallelism,Compatible content-based service-desk,3,6
Programmable static functionalities,Face to face system-worthy framework,1,6
Progressive solution-oriented encryption,Multi-layered composite pricing structure,8,8
Switchable multi-state data-warehouse,Realigned encompassing initiative,1,2
Down-sized systemic algorithm,Managed encompassing parallelism,6,4
Function-based fault-tolerant moratorium,User-centric optimal pricing structure,4,6
Implemented object-oriented moratorium,Integrated methodical benchmark,16,4
Multi-tiered leading edge hierarchy,Fundamental content-based conglomeration,1,4
Centralized needs-based orchestration,Vision-oriented 24/7 database,4,6
Mandatory context-sensitive hub,Right-sized leading edge application,6,2
Object-based composite initiative,Cloned client-server matrices,9,6
Public-key bifurcated frame,Cloned maximized structure,6,6
Polarised logistical installation,Cloned user-facing complexity,3,2
Sharable multimedia forecast,Total empowering task-force,16,1
Organic multi-tasking time-frame,Advanced logistical contingency,14,1
User-friendly maximized core,Business-focused fault-tolerant algorithm,16,7
Progressive next generation forecast,Automated bifurcated architecture,12,6
Expanded system-worthy customer loyalty,Centralized value-added service-desk,2,1
Synergistic responsive architecture,Intuitive stable methodology,16,2
Self-enabling mission-critical open architecture,Down-sized multimedia architecture,10,8
Future-proofed bi-directional support,Future-proofed optimizing product,16,2
Future-proofed incremental groupware,Optional coherent methodology,4,5
Pre-emptive multi-tasking benchmark,Quality-focused cohesive frame,3,5
Inverse reciprocal hierarchy,Integrated encompassing neural-net,3,2
Optional full-range support,Ameliorated system-worthy open architecture,16,2
Automated bandwidth-monitored project,Front-line reciprocal array,3,5
Proactive eco-centric open system,Multi-lateral motivating firmware,5,2
Public-key multi-state migration,Virtual even-keeled concept,9,3
Phased bandwidth-monitored parallelism,Exclusive impactful matrix,13,4
Object-based zero administration orchestration,Reactive web-enabled approach,5,4
Implemented composite hardware,Horizontal systemic process improvement,1,5
Persistent object-oriented protocol,Assimilated upward-trending frame,7,1
Implemented optimizing toolset,Adaptive methodical time-frame,3,1
Managed responsive strategy,Re-contextualized incremental database,9,8
Phased 6th generation installation,Advanced incremental initiative,14,8
Decentralized bottom-line paradigm,Phased reciprocal model,1,1
Re-engineered object-oriented instruction set,Polarised optimal function,3,6
De-engineered mission-critical orchestration,Face to face reciprocal functionalities,4,1
Digitized fault-tolerant instruction set,Centralized executive collaboration,15,6
Triple-buffered object-oriented support,Team-oriented 24 hour interface,1,5
Customizable coherent product,Multi-tiered zero defect analyzer,14,2
Reverse-engineered modular approach,Re-contextualized reciprocal alliance,14,2
Reduced tertiary complexity,Team-oriented even-keeled circuit,15,8
Synergistic 24 hour function,Public-key needs-based time-frame,5,1
Decentralized coherent hierarchy,Synchronised dynamic forecast,13,4
Ameliorated 4th generation emulation,Streamlined asynchronous circuit,2,6
Compatible bandwidth-monitored frame,Seamless explicit structure,13,8
Diverse actuating algorithm,Self-enabling tertiary framework,16,7
Stand-alone web-enabled middleware,Monitored zero defect info-mediaries,13,8
Cross-platform multimedia focus group,Enhanced content-based access,16,2
Mandatory executive data-warehouse,Total well-modulated conglomeration,4,2
Intuitive system-worthy complexity,Automated even-keeled secured line,12,1
Cross-platform multimedia capacity,De-engineered bifurcated moderator,5,8
Robust web-enabled superstructure,Centralized non-volatile toolset,1,2
Optional actuating circuit,Expanded background task-force,13,3
Multi-tiered actuating customer loyalty,Business-focused system-worthy ability,12,3
Switchable cohesive circuit,Optimized foreground software,1,3
Customer-focused local toolset,Upgradable interactive conglomeration,9,2
Team-oriented grid-enabled conglomeration,Digitized national groupware,6,1
Optimized non-volatile superstructure,Operative full-range functionalities,8,5
Versatile multi-tasking utilisation,Fully-configurable logistical toolset,16,7
Re-contextualized non-volatile toolset,Monitored object-oriented portal,3,3
Networked encompassing conglomeration,Self-enabling bi-directional encoding,10,2
Customizable well-modulated internet solution,Multi-lateral grid-enabled attitude,16,4
Customer-focused responsive productivity,Reverse-engineered dynamic data-warehouse,5,5
Organic responsive open system,Front-line executive website,4,3
Function-based disintermediate emulation,Robust value-added orchestration,13,7
Self-enabling neutral toolset,Team-oriented solution-oriented installation,1,6
Cross-group full-range hierarchy,Multi-layered exuding budgetary management,15,8
Re-contextualized 6th generation Graphical User Interface,Phased motivating adapter,1,7
Optimized holistic function,Upgradable impactful infrastructure,9,2
Fully-configurable responsive synergy,Streamlined intermediate alliance,11,2
Universal systemic definition,Devolved disintermediate structure,9,1
Open-architected value-added policy,Automated optimizing protocol,5,2
Multi-layered next generation focus group,Self-enabling static approach,3,3
Digitized multimedia synergy,Profit-focused fault-tolerant knowledge base,4,6
User-centric encompassing instruction set,Persistent local database,14,7
Reduced radical policy,Synchronised homogeneous budgetary management,8,4
Switchable uniform function,Object-based 24 hour system engine,12,7
Stand-alone zero tolerance encryption,Synchronised mission-critical knowledge user,8,6
User-friendly zero tolerance synergy,Vision-oriented incremental paradigm,16,1
Self-enabling discrete access,Streamlined local budgetary management,15,3
Progressive hybrid implementation,Re-contextualized 4th generation info-mediaries,2,1
Stand-alone content-based info-mediaries,Configurable incremental toolset,9,4
Decentralized interactive interface,Decentralized secondary knowledge user,1,5
Compatible tangible architecture,Horizontal hybrid methodology,13,7
Virtual bottom-line throughput,Seamless intangible capability,15,1
Future-proofed systemic superstructure,Profound high-level moratorium,12,8
Optional bifurcated encoding,Polarised system-worthy core,11,2
Innovative 4th generation migration,Innovative foreground algorithm,8,8
Managed global solution,Devolved optimizing encoding,11,6
Business-focused stable hierarchy,Fully-configurable non-volatile instruction set,11,1
Front-line multi-tasking service-desk,Integrated well-modulated challenge,13,6
Triple-buffered user-facing encoding,Monitored multi-tasking synergy,6,7
Expanded zero tolerance emulation,Virtual radical ability,5,6
Organized neutral concept,Total dedicated intranet,4,8
Persistent local hub,Adaptive methodical forecast,9,8
Horizontal human-resource support,Switchable mission-critical hub,3,6
Centralized reciprocal pricing structure,Optimized secondary ability,8,7
Multi-channelled systemic encoding,Vision-oriented non-volatile leverage,8,7
Horizontal static info-mediaries,Enhanced methodical installation,8,1
Networked national capability,Reduced client-driven productivity,15,6
Multi-lateral context-sensitive hardware,Networked national conglomeration,9,1
Upgradable maximized interface,Streamlined interactive software,14,1
Grass-roots global middleware,Multi-channelled responsive access,16,5
Optional intermediate hub,Triple-buffered actuating process improvement,12,1
Switchable 3rd generation solution,Assimilated bifurcated concept,3,5
Reverse-engineered even-keeled adapter,Horizontal 6th generation forecast,10,2
Mandatory responsive initiative,Implemented dynamic protocol,4,7
Multi-tiered content-based alliance,Total 6th generation model,7,7
Function-based foreground infrastructure,Open-source well-modulated model,9,6
Horizontal didactic support,Face to face high-level service-desk,2,5
Face to face human-resource neural-net,Object-based disintermediate extranet,4,2
Managed hybrid intranet,Multi-layered stable flexibility,9,2
Organic high-level complexity,Synergistic encompassing monitoring,5,7
Digitized fresh-thinking toolset,Upgradable scalable support,10,8
Business-focused 5th generation system engine,Business-focused eco-centric superstructure,5,6
Multi-channelled neutral matrix,Configurable zero defect array,10,8
Assimilated optimizing process improvement,Decentralized 24 hour project,11,4
Multi-tiered optimal standardization,De-engineered multi-tasking emulation,15,8
Proactive mission-critical orchestration,Enterprise-wide secondary throughput,2,6
Digitized solution-oriented conglomeration,Distributed bandwidth-monitored groupware,7,7
Adaptive 6th generation flexibility,Cross-group eco-centric function,6,4
Re-contextualized foreground circuit,Multi-lateral high-level moratorium,15,5
Exclusive encompassing hardware,Right-sized local monitoring,2,4
Multi-layered real-time encoding,Automated user-facing alliance,4,2
Fundamental local strategy,Optional foreground toolset,15,1
Progressive fault-tolerant hub,Reactive 6th generation structure,14,1
Automated mobile instruction set,Devolved 24/7 initiative,3,4
Streamlined encompassing groupware,Down-sized human-resource policy,14,7
Profound 24 hour challenge,Switchable leading edge data-warehouse,11,6
Versatile dynamic collaboration,Vision-oriented high-level circuit,15,5
De-engineered intangible moratorium,Advanced encompassing infrastructure,1,5
Cloned scalable matrix,Implemented solution-oriented application,1,8
Universal executive synergy,Polarised grid-enabled firmware,13,6
Business-focused heuristic moratorium,Down-sized static hierarchy,11,6
Reduced value-added strategy,Organic bi-directional project,5,5
Fully-configurable multimedia adapter,Advanced radical alliance,6,4
Implemented bottom-line service-desk,Synergistic grid-enabled process improvement,7,7
Automated systemic forecast,De-engineered bifurcated superstructure,2,8
Streamlined zero administration strategy,Automated dedicated artificial intelligence,4,7
Diverse well-modulated ability,Ameliorated mobile application,6,5
Synchronised scalable moderator,Multi-tiered national toolset,16,2
Ergonomic 4th generation hierarchy,Business-focused fresh-thinking time-frame,16,5
Implemented intangible matrices,Cross-platform mobile process improvement,14,5
Distributed encompassing hub,Team-oriented heuristic encryption,8,3
Multi-layered 6th generation matrix,Seamless actuating protocol,2,3
User-centric incremental framework,Ameliorated well-modulated forecast,13,7
Versatile bi-directional alliance,Cloned discrete implementation,10,6
Focused grid-enabled encryption,Customizable high-level analyzer,8,7
Realigned 4th generation functionalities,Fully-configurable regional emulation,5,2
Diverse secondary structure,Optimized bottom-line structure,15,8
Exclusive mission-critical hardware,Streamlined encompassing ability,1,7
Team-oriented foreground database,User-friendly even-keeled encoding,11,1
Expanded even-keeled protocol,Stand-alone even-keeled methodology,12,5
Enhanced bottom-line hierarchy,Seamless 3rd generation implementation,11,2
Optional tangible functionalities,Team-oriented systemic service-desk,16,3
Optimized maximized migration,Horizontal next generation local area network,1,8
Cross-platform grid-enabled knowledge base,Inverse attitude-oriented monitoring,8,2
Cross-platform context-sensitive contingency,Multi-tiered asynchronous leverage,10,2
Persevering bifurcated algorithm,Exclusive context-sensitive definition,14,5
Decentralized global middleware,Reverse-engineered human-resource analyzer,8,3
Focused attitude-oriented leverage,Diverse disintermediate circuit,7,1
Vision-oriented optimizing strategy,Right-sized client-server access,1,1
Innovative real-time service-desk,Multi-lateral user-facing architecture,12,7
Realigned empowering moderator,Assimilated foreground adapter,4,3
Synergized 3rd generation firmware,Right-sized reciprocal database,6,5
Profound asymmetric internet solution,Diverse interactive time-frame,11,6
Seamless real-time adapter,Re-engineered responsive attitude,15,4
Assimilated zero defect open system,Organized dedicated Graphical User Interface,8,2
Customer-focused local system engine,Implemented motivating Graphical User Interface,6,8
Cross-platform explicit neural-net,Customer-focused exuding protocol,6,1
Ameliorated secondary interface,Cross-group logistical local area network,14,1
Team-oriented multimedia capacity,Integrated non-volatile functionalities,15,7
De-engineered coherent product,Cross-group next generation strategy,6,5
Advanced optimal implementation,Innovative methodical support,2,4
Balanced value-added focus group,Open-architected client-server capacity,14,2
Devolved even-keeled database,Multi-lateral mobile implementation,2,5
Configurable solution-oriented moratorium,Cross-group static success,8,3
Synergized maximized strategy,Reactive 6th generation project,1,2
Streamlined interactive data-warehouse,Inverse high-level model,2,4
Ameliorated scalable success,De-engineered tangible task-force,1,1
Persevering coherent customer loyalty,User-friendly 5th generation policy,2,7
Profound solution-oriented paradigm,Re-engineered scalable access,12,6
Configurable well-modulated knowledge user,Cross-platform demand-driven definition,6,5
Implemented client-driven secured line,Optimized methodical secured line,1,8
Front-line dedicated system engine,Grass-roots optimal instruction set,7,4
Open-architected stable hub,Operative fresh-thinking workforce,15,8
Down-sized asynchronous array,Reactive disintermediate architecture,2,5
Organized foreground contingency,Versatile secondary neural-net,10,4
Managed demand-driven matrix,Profit-focused full-range architecture,10,4
Secured optimizing help-desk,Extended next generation algorithm,7,4
Proactive neutral benchmark,Grass-roots non-volatile pricing structure,15,3
Secured next generation framework,Multi-layered systematic access,8,6
Synergized attitude-oriented framework,Switchable bifurcated intranet,9,5
Realigned optimal matrices,Diverse client-driven superstructure,6,2
Seamless zero defect concept,Operative logistical framework,12,3
Down-sized asynchronous infrastructure,Upgradable foreground open architecture,8,6
User-centric bottom-line instruction set,Profound solution-oriented hub,6,5
Streamlined holistic initiative,Streamlined needs-based encoding,7,4
Open-source incremental implementation,Persevering impactful orchestration,2,4
Assimilated empowering system engine,Advanced value-added open architecture,1,2
Robust systematic installation,Distributed impactful projection,11,1
Exclusive real-time process improvement,Function-based holistic secured line,14,3
Switchable coherent pricing structure,Enterprise-wide 4th generation matrices,3,1
Self-enabling disintermediate definition,Progressive zero defect algorithm,16,8
Versatile solution-oriented model,Persevering intangible definition,5,4
Re-contextualized next generation installation,Organic executive definition,6,1
Horizontal bi-directional alliance,Assimilated demand-driven strategy,7,2
Up-sized analyzing challenge,Devolved system-worthy product,12,2
Multi-lateral regional secured line,Triple-buffered dedicated budgetary management,7,8
Configurable uniform migration,Automated directional workforce,3,3
Horizontal encompassing knowledge base,Centralized didactic monitoring,7,3
Stand-alone leading edge circuit,Horizontal clear-thinking encryption,15,1
Front-line optimal infrastructure,Down-sized bottom-line frame,5,3
Total systematic hierarchy,Intuitive transitional synergy,7,7
Optional mission-critical neural-net,Integrated explicit intranet,16,7
Ergonomic systemic initiative,Quality-focused regional model,7,3
Enterprise-wide 24/7 hierarchy,Distributed intermediate parallelism,6,7
Self-enabling intangible concept,Switchable reciprocal alliance,3,2
Decentralized 4th generation infrastructure,Universal object-oriented contingency,2,4
Extended executive monitoring,Public-key contextually-based benchmark,13,5
Business-focused context-sensitive hierarchy,Triple-buffered cohesive concept,9,3
Expanded homogeneous hardware,Devolved full-range framework,6,8
Exclusive global matrices,Face to face next generation array,15,4
Re-engineered optimizing process improvement,Devolved analyzing artificial intelligence,9,7
Customizable encompassing array,Switchable dynamic structure,10,5
Quality-focused value-added open system,Quality-focused intermediate model,12,5
Face to face zero administration Graphical User Interface,Front-line impactful knowledge base,15,4
Streamlined systematic alliance,Reverse-engineered local archive,13,8
Quality-focused analyzing synergy,Cross-platform actuating instruction set,5,5
Inverse needs-based initiative,Intuitive static interface,9,4
Open-architected national intranet,Business-focused system-worthy benchmark,13,5
Persistent contextually-based frame,Cloned intermediate standardization,2,8
Open-source 24/7 functionalities,Front-line dynamic portal,1,1
Open-architected maximized firmware,Expanded responsive budgetary management,16,1
Open-source systemic firmware,Polarised impactful hardware,16,1
Expanded impactful solution,Configurable maximized forecast,6,2
Ergonomic responsive frame,User-friendly bottom-line intranet,11,4
Right-sized foreground moderator,Extended responsive local area network,15,1
Pre-emptive bandwidth-monitored definition,Realigned executive throughput,4,1
Diverse intangible superstructure,Programmable client-server adapter,14,5
Extended user-facing help-desk,Business-focused secondary success,10,8
Exclusive client-server installation,Focused global challenge,2,8
Optional optimizing architecture,Seamless well-modulated implementation,8,6
Automated needs-based firmware,Fundamental client-driven focus group,10,7
Up-sized stable neural-net,Fully-configurable attitude-oriented productivity,14,2
Implemented 24/7 contingency,Virtual modular complexity,7,4
Mandatory stable model,Assimilated fresh-thinking strategy,16,5
Secured heuristic paradigm,Adaptive foreground conglomeration,8,3
Profit-focused web-enabled knowledge base,Diverse web-enabled paradigm,12,8
Advanced interactive archive,Expanded even-keeled help-desk,12,7
Diverse contextually-based support,Digitized global application,2,1
Pre-emptive explicit moratorium,Networked zero administration policy,16,1
Advanced bandwidth-monitored core,Realigned asymmetric algorithm,10,8
Synchronised modular installation,Streamlined explicit open system,6,8
Profound object-oriented capacity,Multi-tiered homogeneous moderator,14,6
Reactive secondary task-force,Customizable explicit capacity,8,3
Integrated dedicated emulation,Open-source local artificial intelligence,4,4
Multi-layered transitional success,Secured human-resource structure,6,8
Cloned high-level core,Configurable next generation ability,15,1
Enterprise-wide impactful open architecture,Integrated stable knowledge base,8,2
Realigned 4th generation core,Customizable analyzing installation,9,1
Realigned 24/7 project,Grass-roots intangible hierarchy,6,4
Quality-focused exuding budgetary management,Grass-roots mission-critical secured line,13,6
Grass-roots dynamic success,Fully-configurable client-server monitoring,16,7
Exclusive leading edge instruction set,Reverse-engineered incremental support,8,8
Reactive encompassing circuit,Ameliorated didactic database,5,2
Programmable mobile concept,Team-oriented user-facing interface,3,7
Enterprise-wide stable superstructure,User-friendly dedicated flexibility,5,3
Managed foreground ability,Multi-lateral zero defect conglomeration,16,7
Distributed tangible ability,Networked coherent ability,7,8
Polarised contextually-based leverage,Organized grid-enabled intranet,2,7
Self-enabling 24 hour challenge,Multi-channelled web-enabled methodology,7,3
Streamlined secondary paradigm,Implemented user-facing secured line,10,7
Synchronised contextually-based migration,Re-engineered optimizing approach,9,8
Optional object-oriented conglomeration,Progressive discrete info-mediaries,8,8
Profit-focused web-enabled task-force,Re-engineered executive secured line,1,8
Up-sized coherent framework,Multi-channelled high-level projection,9,2
Persevering directional system engine,Ameliorated 4th generation open architecture,16,2
Enterprise-wide even-keeled website,Ameliorated homogeneous attitude,1,8
Cloned web-enabled pricing structure,Multi-lateral incremental functionalities,9,5
Quality-focused grid-enabled hardware,Customizable optimizing model,6,4
Enterprise-wide 24 hour encoding,Secured systemic middleware,8,7
Face to face uniform secured line,Visionary intangible open architecture,11,4
Automated multimedia orchestration,Seamless directional challenge,8,3
Networked 24 hour matrix,Compatible responsive utilisation,8,6
Progressive executive concept,Synchronised local flexibility,3,5
User-friendly multi-tasking hardware,Triple-buffered explicit process improvement,12,5
Customer-focused 24 hour paradigm,Mandatory asynchronous leverage,8,7
Multi-channelled composite collaboration,Phased non-volatile framework,14,1
Exclusive zero administration support,Ergonomic regional project,6,4
Implemented asynchronous methodology,Enterprise-wide secondary encoding,7,3
Visionary reciprocal architecture,Multi-channelled systemic groupware,11,8
Devolved multi-tasking solution,Customer-focused impactful architecture,8,7
Multi-layered upward-trending parallelism,Future-proofed composite challenge,3,5
Profound hybrid knowledge base,Enhanced maximized artificial intelligence,12,6
Customizable non-volatile product,Streamlined multimedia parallelism,16,3
Stand-alone well-modulated complexity,Re-engineered well-modulated matrices,9,5
Visionary methodical productivity,Progressive modular leverage,14,4
Cloned client-server circuit,Organic value-added capability,1,4
Networked hybrid functionalities,Optimized background service-desk,2,4
Public-key 3rd generation workforce,Ameliorated hybrid secured line,14,7
Extended bi-directional knowledge base,Visionary zero tolerance forecast,9,6
Profound 24 hour paradigm,Implemented discrete migration,14,3
Pre-emptive multi-tasking alliance,Multi-channelled demand-driven website,1,2
Function-based mission-critical emulation,Versatile hybrid alliance,12,7
Cross-group dynamic matrix,Integrated intangible portal,5,8
Realigned dedicated system engine,Down-sized grid-enabled forecast,10,2
Polarised content-based attitude,Diverse bottom-line access,1,2
Synergistic even-keeled forecast,Right-sized stable encoding,9,2
Stand-alone didactic utilisation,Multi-lateral scalable benchmark,1,7
Fundamental zero tolerance frame,Open-architected asynchronous Graphical User Interface,13,3
Open-architected tertiary attitude,Multi-channelled full-range structure,2,3
Secured heuristic secured line,Vision-oriented full-range algorithm,6,7
Function-based secondary attitude,Secured needs-based algorithm,2,5
Extended content-based flexibility,Networked 3rd generation encryption,8,4
Distributed context-sensitive internet solution,Public-key impactful strategy,8,6
Automated real-time open system,Balanced fault-tolerant data-warehouse,11,5
Future-proofed even-keeled open architecture,Devolved web-enabled productivity,9,8
Visionary didactic open architecture,Balanced reciprocal concept,12,5
Future-proofed executive frame,Ameliorated object-oriented local area network,12,7
Self-enabling disintermediate frame,Networked system-worthy framework,8,4
Devolved neutral open system,Persevering solution-oriented focus group,7,8
Intuitive object-oriented artificial intelligence,Advanced secondary contingency,15,2
Cross-platform reciprocal open architecture,Multi-layered background benchmark,14,8
Managed mobile info-mediaries,Future-proofed zero defect definition,9,5
Triple-buffered asynchronous groupware,Phased non-volatile parallelism,3,1
Optimized fault-tolerant policy,Object-based homogeneous flexibility,16,2
Automated high-level info-mediaries,Distributed demand-driven protocol,2,7
Reverse-engineered content-based definition,Front-line optimal intranet,16,5
Customer-focused solution-oriented leverage,Ameliorated non-volatile moderator,12,3
Intuitive national time-frame,Exclusive solution-oriented productivity,8,3
Visionary composite standardization,Cross-platform dynamic superstructure,14,2
Advanced radical productivity,Cross-platform holistic instruction set,15,3
Customer-focused actuating task-force,Digitized full-range framework,5,2
Re-engineered radical knowledge base,Balanced systemic benchmark,4,3
Implemented background knowledge base,Digitized regional methodology,6,6
Progressive systemic migration,Advanced scalable ability,6,7
Organized client-server methodology,Organized 6th generation attitude,11,4
Robust logistical portal,Customer-focused leading edge encryption,13,1
Reduced composite policy,De-engineered value-added collaboration,10,8
Balanced attitude-oriented Graphic Interface,Seamless foreground time-frame,2,6
Multi-lateral bifurcated matrices,Multi-layered 3rd generation productivity,5,1
Configurable local database,Profound responsive concept,15,7
